Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
HONOR X9,CONTADO,99.9,2718,969,dto.,64%,
HONOR X9,CUOTA,99.9,,,12,0,126
HONOR X9,CONTADO,159.9,2718,969,dto.,64%,
HONOR X9,CUOTA,159.9,,,12,0,126
Samsung Galaxy S23 256GB,CONTADO,41.9,8064,3949,dto.,51%,
Samsung Galaxy S23 256GB,CONTADO,55.9,8064,3949,dto.,51%,
Samsung Galaxy S23 256GB,CUOTA,55.9,,,12,0,497
Samsung Galaxy S23 256GB,CONTADO,65.9,8064,3949,dto.,51%,
Samsung Galaxy S23 256GB,CUOTA,65.9,,,12,0,497
Samsung Galaxy S23 256GB,CONTADO,99.9,8064,3949,dto.,51%,
Samsung Galaxy S23 256GB,CUOTA,99.9,,,12,0,497
Samsung Galaxy S23 256GB,CONTADO,159.9,8064,3949,dto.,51%,
Samsung Galaxy S23 256GB,CUOTA,159.9,,,12,0,497
Samsung Galaxy S23 Plus 512GB,CONTADO,41.9,9378,4669,dto.,50%,
Samsung Galaxy S23 Plus 512GB,CONTADO,55.9,9378,4669,dto.,50%,
Samsung Galaxy S23 Plus 512GB,CUOTA,55.9,,,12,0,600
Samsung Galaxy S23 Plus 512GB,CONTADO,65.9,9378,4669,dto.,50%,
Samsung Galaxy S23 Plus 512GB,CUOTA,65.9,,,12,0,600
Samsung Galaxy S23 Plus 512GB,CONTADO,99.9,9378,4669,dto.,50%,
Samsung Galaxy S23 Plus 512GB,CUOTA,99.9,,,12,0,600
Samsung Galaxy S23 Plus 512GB,CONTADO,159.9,9378,4669,dto.,50%,
Samsung Galaxy S23 Plus 512GB,CUOTA,159.9,,,12,0,600
Samsung Galaxy S23 Ultra 512GB,CONTADO,41.9,11106,5719,dto.,49%,
Samsung Galaxy S23 Ultra 512GB,CONTADO,55.9,11106,5719,dto.,49%,
Samsung Galaxy S23 Ultra 512GB,CUOTA,55.9,,,12,0,732
Samsung Galaxy S23 Ultra 512GB,CONTADO,65.9,11106,5719,dto.,49%,
Samsung Galaxy S23 Ultra 512GB,CUOTA,65.9,,,12,0,732
Samsung Galaxy S23 Ultra 512GB,CONTADO,99.9,11106,5719,dto.,49%,
Samsung Galaxy S23 Ultra 512GB,CUOTA,99.9,,,12,0,715
Samsung Galaxy S23 Ultra 512GB,CONTADO,159.9,11106,5719,dto.,49%,
Samsung Galaxy S23 Ultra 512GB,CUOTA,159.9,,,12,0,715
ZTE Blade A51 LITE,CONTADO,41.9,504,279,dto.,45%,
ZTE Blade A51 LITE,CONTADO,55.9,504,279,dto.,45%,
ZTE Blade A51 LITE,CUOTA,55.9,,,12,0,37
ZTE Blade A51 LITE,CUOTA,55.9,,,18,49,22
ZTE Blade A51 LITE,CONTADO,65.9,504,279,dto.,45%,
ZTE Blade A51 LITE,CUOTA,65.9,,,12,0,37
ZTE Blade A51 LITE,CONTADO,99.9,504,279,dto.,45%,
ZTE Blade A51 LITE,CUOTA,99.9,,,12,0,37
ZTE Blade A51 LITE,CUOTA,99.9,,,18,19,22
ZTE Blade A51 LITE,CONTADO,159.9,504,279,dto.,45%,
ZTE Blade A51 LITE,CUOTA,159.9,,,12,0,37
ZTE Blade A51 LITE,CUOTA,159.9,,,18,19,22
Samsung Galaxy S23 Plus 256GB,CONTADO,41.9,9378,3959,dto.,58%,
Samsung Galaxy S23 Plus 256GB,CONTADO,55.9,9378,3959,dto.,58%,
Samsung Galaxy S23 Plus 256GB,CUOTA,55.9,,,12,0,511
Samsung Galaxy S23 Plus 256GB,CONTADO,65.9,9378,3959,dto.,58%,
Samsung Galaxy S23 Plus 256GB,CUOTA,65.9,,,12,0,511
Samsung Galaxy S23 Plus 256GB,CONTADO,99.9,9378,3959,dto.,58%,
Samsung Galaxy S23 Plus 256GB,CUOTA,99.9,,,12,0,511
Samsung Galaxy S23 Plus 256GB,CONTADO,159.9,9378,3959,dto.,58%,
Samsung Galaxy S23 Plus 256GB,CUOTA,159.9,,,12,0,511
Samsung Galaxy S23 Ultra 256GB,CONTADO,41.9,4559,0,dto.,59%,
Samsung Galaxy S23 Ultra 256GB,CONTADO,55.9,4559,0,dto.,59%,
Samsung Galaxy S23 Ultra 256GB,CUOTA,55.9,,,12,0,649
Samsung Galaxy S23 Ultra 256GB,CONTADO,65.9,4559,0,dto.,59%,
Samsung Galaxy S23 Ultra 256GB,CUOTA,65.9,,,12,0,649
Samsung Galaxy S23 Ultra 256GB,CONTADO,99.9,4559,0,dto.,59%,
Samsung Galaxy S23 Ultra 256GB,CUOTA,99.9,,,12,0,715
Samsung Galaxy S23 Ultra 256GB,CONTADO,159.9,4559,0,dto.,59%,
Samsung Galaxy S23 Ultra 256GB,CUOTA,159.9,,,12,0,715
Apple iPhone 13 128GB,CONTADO,41.9,3299,0,dto.,39%,
Apple iPhone 13 128GB,CONTADO,55.9,3299,0,dto.,39%,
Apple iPhone 13 128GB,CUOTA,55.9,,,12,0,456
Apple iPhone 13 128GB,CUOTA,55.9,,,18,3299,167
Apple iPhone 13 128GB,CONTADO,65.9,3299,0,dto.,39%,
Apple iPhone 13 128GB,CUOTA,65.9,,,12,0,456
Apple iPhone 13 128GB,CONTADO,99.9,2919,0,dto.,39%,
Apple iPhone 13 128GB,CUOTA,99.9,,,12,0,456
Apple iPhone 13 128GB,CUOTA,99.9,,,18,0,303
Apple iPhone 13 128GB,CONTADO,159.9,2919,0,dto.,39%,
Apple iPhone 13 128GB,CUOTA,159.9,,,12,0,456
Apple iPhone 13 128GB,CUOTA,159.9,,,18,0,303
Motorola Edge 30 Fusion + Audífonos,CONTADO,41.9,,,,1639,
Motorola Edge 30 Fusion + Audífonos,CONTADO,55.9,,,,1639,
Motorola Edge 30 Fusion + Audífonos,CONTADO,65.9,,,,1639,
