General,Equipo,Plan,Plan_Tarifario,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota,ContadoOnline,CantidadCuota,ContadoOnline_CantidadCuota_v2
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,CUOTA,89.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,CUOTA,89.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,CONTADO,99.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,CUOTA,99.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,CUOTA,99.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,CONTADO,109.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,CUOTA,109.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,CUOTA,109.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,CONTADO,129.9,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,CUOTA,129.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,CUOTA,129.9,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,CONTADO,159.5,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,CUOTA,159.5,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,CUOTA,159.5,,,,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749|209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,CONTADO,209.5,,,5850 4749,5850,4749,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 12 CUOTAS DE: 471|209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,CUOTA,209.5,,,,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|0 18 CUOTAS DE: 359|209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,CUOTA,209.5,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1529|39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy A53,CONTADO,39.9,,,2520 1529,2520,1529,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 145|39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy A53,CUOTA,39.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1529|55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,CONTADO,55.9,,,2520 1529,2520,1529,
"Samsung Galaxy A53|CUOTA|1169 12 CUOTAS DE: 98|55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,CUOTA,55.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 145|55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,CUOTA,55.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,CONTADO,74.9,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|1029 12 CUOTAS DE: 97|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,CUOTA,74.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 135|74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,CUOTA,74.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,CONTADO,89.9,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|889 12 CUOTAS DE: 97|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,CUOTA,89.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,CUOTA,89.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,CONTADO,99.9,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|889 12 CUOTAS DE: 97|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,CUOTA,99.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,CUOTA,99.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,CONTADO,109.9,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|839 12 CUOTAS DE: 91|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,CUOTA,109.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,CUOTA,109.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,CONTADO,129.9,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|779 12 CUOTAS DE: 96|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,CUOTA,129.9,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,CUOTA,129.9,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,CONTADO,159.5,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|779 12 CUOTAS DE: 96|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,CUOTA,159.5,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,CUOTA,159.5,,,,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,CONTADO,209.5,,,2520 1419,2520,1419,
"Samsung Galaxy A53|CUOTA|709 12 CUOTAS DE: 102|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,CUOTA,209.5,,,,,,
"Samsung Galaxy A53|CUOTA|0 18 CUOTAS DE: 132|209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,CUOTA,209.5,,,,,,
